OBJECTID *,Shape *,Name,Elevation,Longitude,Latitude,OBJECTID *,globalid,tree_speci,tree_heigh,dead_alive,large_tree,rtk_id,tree_id_sp
1,Point,1,1759.077,37.357619,0.211931,1,622baf87-1513-47e7-a840-0da4b3ce695d,Vachellia_drepanolobium,4.3,Alive,356,1,eb106993-b420-422a-9e23-e4ac6590a9e0
2,Point,2,1759.081,37.357656,0.211974,2,583247c4-42ed-4a68-9156-e4e27b6b32f8,Vachellia_drepanolobium,3.3,Alive,357,2,25bd9b57-5023-451c-83d8-152fe04c4f38
3,Point,3,1759.049,37.357649,0.212019,3,6b3fbde0-15fc-47b4-8a3f-72ee3ce169aa,Vachellia_drepanolobium,4.3,Alive,358,3,2cb0f2ac-b21a-4960-aacb-6813c216b50a
4,Point,4,1758.788,37.357702,0.212065,4,5d6c1f31-fa29-4fe2-8899-d24fdb4135fc,Vachellia_drepanolobium,4.2,Alive,359,4,2d91d08a-6610-4fe9-9bdb-f5366ff7e32c
5,Point,5,1759.025,37.357692,0.212032,5,3f62331b-c163-4671-99f4-b15414096495,Vachellia_drepanolobium,4.9,Alive,360,5,585cd6e4-7850-4e2b-a873-473d04ff5c93
6,Point,6,1758.821,37.357689,0.212032,6,94b5f843-0320-4753-8fcf-30f9387e9884,Vachellia_drepanolobium,2.6,Alive,361,6,31d205e9-ed10-4955-8671-7876537e3720
7,Point,7,1758.961,37.357675,0.212027,7,24c022d8-7fa3-4e32-a896-79b4e89da627,Vachellia_drepanolobium,4.3,Alive,362,7,f97e22bd-268a-4629-9c17-79f701fdcbac
8,Point,8,1759.012,37.357674,0.212013,8,59567bbd-5d13-4620-a32a-fb8d9b123b99,Vachellia_drepanolobium,5.5,Alive,363,8,4d3dd2e4-c9cc-4a4c-9cfa-27668b8d9413
9,Point,9,1759.096,37.357665,0.211953,9,a17ad6e5-f9d5-48e1-ad13-e29a2dda5da2,Vachellia_drepanolobium,4.4,Alive,364,9,fe85d40b-86df-431c-9be7-d419b306b437
10,Point,10,1759.664,37.357703,0.211955,10,615bc28e-9f14-49a0-ab34-d1b8222e979a,Searsia_natalensis,3.6,Alive,365,10,04e9ebb9-f58b-44b2-a6e1-7c62dcc1b025
11,Point,11,1759.43,37.357691,0.211937,11,103da3b8-4e1f-4b50-84b6-fab2fb74d09b,Vachellia_drepanolobium,4.1,Alive,366,11,22bcb57d-34cf-4391-be82-f88f4fd79768
12,Point,12,1759.354,37.35772,0.211922,12,93153404-f280-49c1-b207-cc07e84bb641,Searsia_natalensis,3.2,Alive,367,12,6f0cd62b-a487-466b-9251-c71b593bfed7
13,Point,13,1759.351,37.357693,0.211889,13,9fd4dbc3-2533-4f82-af8a-8842df8e0565,Vachellia_drepanolobium,4.2,Alive,368,13,779b3354-2247-4409-b082-e0b8ff7bece2
14,Point,14,1759.358,37.357692,0.211884,14,9b70dcbd-91c1-451d-869b-72a62d60f7b9,Vachellia_drepanolobium,4.2,Alive,369,14,e1495771-0b41-4176-bdf4-08eef26a6669
15,Point,15,1759.263,37.357683,0.211881,15,9dc380f5-e25b-4bd1-98a3-7fc0d29b8532,Vachellia_drepanolobium,1.6,Alive,370,15,aef87add-9be1-4ce0-ba7e-5174bfdce0ba
16,Point,16,1759.324,37.357692,0.211877,16,7f22cef1-2ec7-4e7e-9b7c-9baa97949239,Vachellia_drepanolobium,3,Alive,723,16,c1ac0cd6-e626-4db3-af1d-31800486152e
17,Point,17,1759.507,37.357687,0.211842,17,4f0a4d22-77fe-48b7-af70-fb9e628f4573,Vachellia_drepanolobium,4.1,Alive,371,17,6d7459a5-8b3f-419e-a477-5571e5f50302
18,Point,18,1759.416,37.357767,0.211903,18,37755238-1c0d-4774-8e08-d83b0201d535,Vachellia_drepanolobium,2.2,Alive,372,18,16e9e249-30ff-45a9-8e2b-085e16cf5027
19,Point,19,1759.42,37.357754,0.211906,19,9920dd6a-0f25-4526-89c4-87c6de1f55bb,Vachellia_drepanolobium,4.7,Alive,373,19,1bc6fb07-c42f-4649-8279-1a49ad7e2ae5
20,Point,20,1759.393,37.357761,0.211928,20,dd46fee8-b858-4137-9844-b6a3a29d97c8,Vachellia_drepanolobium,4.8,Alive,374,20,9d5e085e-072e-4933-870c-4b5a937bad79
21,Point,21,1759.328,37.357774,0.21195,21,c152ea86-92fb-4a6c-afcb-8f7350dd9f89,Vachellia_drepanolobium,2.8,Alive,375,21,6c9d4f92-2756-4014-9f2f-5708b5eefd12
22,Point,22,1759.278,37.357772,0.211954,22,a1d68832-1146-411a-a183-10b0369774a9,Vachellia_drepanolobium,4.1,Alive,376,22,f3b26592-41bc-4f84-a4cf-b13ca6346db4
23,Point,23,1759.219,37.357753,0.211956,23,75c1f3aa-6834-46e0-a971-d736f6ef5a6f,Vachellia_drepanolobium,4.8,Alive,377,23,2c571fac-695c-4355-9648-31d4a1ee576c
24,Point,24,1759.193,37.357746,0.211956,24,bb2174d4-c00e-4518-b2ac-45506bb100df,Vachellia_drepanolobium,2.9,Alive,378,24,1620783d-d0a3-4c94-b645-0f22108a8cd1
25,Point,25,1759.194,37.357735,0.211972,25,3ac6923f-9626-472e-ab69-d8de76319620,Vachellia_drepanolobium,3.8,Alive,379,25,5858f5ab-606d-4660-a1a2-b9c9bbfc8a5a
26,Point,26,1759.422,37.357759,0.211972,26,ffa658ac-a8dc-4336-9460-bae375e8c9ea,Vachellia_drepanolobium,3.9,Alive,380,26,ff63a98a-3074-40f4-93ac-e14a2c5e5ccd
27,Point,27,1759.875,37.357747,0.211983,27,95e6d2df-5b3a-4dd3-b379-f6d694e7966d,Vachellia_drepanolobium,2.9,Alive,381,27,b007f43d-4c5b-4583-94ee-4bfac79122a3
28,Point,28,1759.153,37.357731,0.211982,28,92531fdf-42ce-458a-9a82-cb4ee649f414,Vachellia_drepanolobium,4,Alive,382,28,0c9797c9-f462-48e1-8ddd-2bb1ef3f7b95
29,Point,29,1759.186,37.357759,0.211983,29,b5cab809-8bd7-4762-907a-512b29b05a7e,Vachellia_drepanolobium,3.9,Alive,383,29,d02ba44b-f1b8-4aae-b15c-3eeb5ba1d664
30,Point,30,1759.099,37.357746,0.211989,30,6b8365ff-1c9d-4c55-b745-886c08b18404,Vachellia_drepanolobium,2.2,Alive,384,30,977e763b-7894-4aa7-8724-030f55021522
31,Point,31,1758.946,37.357746,0.212033,31,986d69e4-885b-4284-8528-9eeeff5e2b17,Vachellia_drepanolobium,2.6,Alive,724,31,ef980767-3766-4462-9a16-beb6f1c887b8
32,Point,32,1758.968,37.357772,0.212053,32,2300fe02-84fe-439c-857b-6dd36f161b06,Vachellia_drepanolobium,4.3,Alive,385,32,547e41a0-32e3-4440-8f7b-bf1efc2bb3fa
33,Point,33,1759.058,37.357811,0.212042,33,708fe224-9a2c-4a45-a868-c2ae59e91bf0,Vachellia_drepanolobium,2.6,Alive,386,33,eef5e812-140e-474f-a881-4d1d8af9c48d
34,Point,34,1759.262,37.357803,0.212006,34,d4394533-c400-4667-a026-746e5af599f9,Vachellia_drepanolobium,3.6,Alive,387,34,dfe7ce96-8624-48c6-9dad-e60c3df31d41
35,Point,35,1759.345,37.357811,0.211966,35,64287b4c-3bca-4f45-aeca-27fc8b052293,Vachellia_drepanolobium,4.4,Alive,388,35,2660c5b7-3f9e-48f7-99a7-bd1ce6bf4f47
36,Point,36,1759.342,37.357805,0.211963,36,3180e5a5-f76a-4083-90c5-e1739ca2b0f6,Vachellia_drepanolobium,4.2,Alive,389,36,be1d9766-873d-42c0-a8e9-34325be77ed4
37,Point,37,1759.296,37.357797,0.211955,37,85a8ee9b-8ce7-45d1-a859-fec50e7efc73,Vachellia_drepanolobium,3.1,Alive,390,37,e63e9213-7231-4757-87b9-7b11b92afc0d
38,Point,38,1759.33,37.357793,0.211953,38,5d4cde29-35bd-4ae1-a3ee-c16697aedf07,Vachellia_drepanolobium,3.9,Alive,391,38,b3482c77-7226-440d-b469-3ab7e738dc3e
39,Point,39,1759.404,37.357811,0.211945,39,3cddf8a2-366c-4757-9f7f-900092d32dbb,Vachellia_drepanolobium,2.8,Dead,<Null>,39,f407d98d-1050-45d1-8bd0-9eca807db2c1
40,Point,40,1759.599,37.357815,0.211916,40,db3a155f-70b1-4d57-8c80-622f92a0aa82,Vachellia_drepanolobium,4.3,Alive,392,40,00b73a3f-694e-46af-bf1a-182fe5aeb6ae
41,Point,41,1759.466,37.357785,0.211912,41,e2efa9be-57db-46a9-9899-33bfc4131531,Vachellia_drepanolobium,4.5,Alive,393,41,db7c2c61-84f2-4fe9-920a-61c5a452fc11
42,Point,42,1759.71,37.357829,0.211843,44,3064a2e2-f4ad-43fa-89ff-c1f9c5523337,Vachellia_drepanolobium,3.8,Alive,394,42,c6fa5e3c-3433-4d00-b9c0-d24743fc682c
43,Point,43,1759.663,37.357826,0.21187,45,8571f9cf-a1d7-4f69-9075-04b7bd241c33,Vachellia_drepanolobium,4,Alive,395,43,ee317a45-df6e-4dfb-b1c2-b15cdb7c1f8b
44,Point,44,1759.637,37.357825,0.211884,46,82db1eee-2e70-4969-8077-9e56209251f2,Vachellia_drepanolobium,5.3,Alive,396,44,6557d2ce-bbf3-4d7c-ac96-7536d0214223
45,Point,45,1759.515,37.357823,0.211916,47,8be10b88-71a1-4447-9d6d-49ba423dc677,Vachellia_drepanolobium,3.9,Alive,397,45,90c2e9b2-c680-4a26-bccd-1a47860a0f39
46,Point,46,1759.437,37.357839,0.211939,48,e6c03cbd-e969-42e7-9949-af8d314da7e0,Vachellia_drepanolobium,4.5,Alive,398,46,69789626-fab1-4e85-b544-68dddee8d44c
47,Point,47,1759.491,37.357852,0.211936,49,faad87c6-534f-494b-bf35-dda9e84ddac0,Vachellia_drepanolobium,3.8,Alive,399,47,8979d5b6-418f-43ee-b052-5b9857fb37c4
48,Point,48,1759.537,37.357836,0.211982,50,423c3873-b9ab-4f06-9940-d275918be172,Searsia_natalensis,3.4,Alive,400,48,ed19d984-1a0e-40ee-8157-261e72e214a1
49,Point,49,1759.234,37.357838,0.212006,51,100a49c1-753f-4452-91d3-cc3829957059,Vachellia_drepanolobium,4.6,Alive,401,49,900b887b-702b-4440-b269-a9c302e517f5
